Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
MATERNELLES (année scolaire 2019/2020);FRANCOISE DORLEAC ELEM B;60 RUE RENE BINET;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3374527923173662, 48.89938990076311]}";48.8993899008,2.33745279232
MATERNELLES (année scolaire 2020/2021);LOUIS VIERNE (6) MAT;6 RUE LOUIS VIERNE;17ème Ardt;75117;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.290018854657438, 48.88812440472938]}";48.8881244047,2.29001885466
MATERNELLES (année scolaire 2019/2020);TAPISSERIES (8) MAT;8 RUE DES TAPISSERIES;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3077232981874403, 48.88848050694424]}";48.8884805069,2.30772329819
MATERNELLES (année scolaire 2020/2021);JACQUIER (23) MAT;23 RUE JACQUIER;14ème Ardt;75114;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.31699795336605, 48.829975081879056]}";48.8299750819,2.31699795337
MATERNELLES (année scolaire 2019/2020);GRANGE BATELIERE (11) MAT;11 RUE DE LA GRANGE BATELIERE;9ème Ardt;75109;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.342063792749881, 48.87301747416565]}";48.8730174742,2.34206379275
MATERNELLES (année scolaire 2020/2021);CHAT.DES RENTIERS (103) MAT;103 RUE DU CHATEAU DES RENTIERS;13ème Ardt;75113;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.367210843904744, 48.828173837361305]}";48.8281738374,2.3672108439
MATERNELLES (année scolaire 2019/2020);LEGOUVE (6) MAT;6 RUE LEGOUVE;10ème Ardt;75110;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.362175398514979, 48.8722548725959]}";48.8722548726,2.36217539851
MATERNELLES (année scolaire 2020/2021);BALARD (95) MAT;95 RUE BALARD;15ème Ardt;75115;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.278654953647318, 48.837787585221214]}";48.8377875852,2.27865495365
MATERNELLES (année scolaire 2019/2020);PRIMO LEVI (21) POLY;21 RUE PRIMO LEVI;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3787449005812302, 48.83054196798175]}";48.830541968,2.37874490058
MATERNELLES (année scolaire 2020/2021);TOMBE ISSOIRE (77) MAT;77 RUE DE LA TOMBE ISSOIRE;14ème Ardt;75114;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.3328242684373732, 48.82812131962506]}";48.8281213196,2.33282426844
MATERNELLES (année scolaire 2019/2020);DAUTANCOURT (16) MAT;16 RUE DAUTANCOURT;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3244059541155, 48.889522828183864]}";48.8895228282,2.32440595412
MATERNELLES (année scolaire 2020/2021);CHRISTINE DE PISAN (24) MAT;24 RUE CHRISTINE DE PISAN;17ème Ardt;75117;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.308257070318591, 48.889977030754245]}";48.8899770308,2.30825707032
MATERNELLES (année scolaire 2019/2020);ORSEL (56) MAT;56 RUE D' ORSEL;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3408657496618233, 48.88355382679773]}";48.8835538268,2.34086574966
MATERNELLES (année scolaire 2020/2021);VAUGIRARD (149) MAT;149 RUE DE VAUGIRARD;15ème Ardt;75115;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.316087899183691, 48.84391351463202]}";48.8439135146,2.31608789918
MATERNELLES (année scolaire 2019/2020);SEXTIUS MICHEL (22) MAT;22 RUE SEXTIUS MICHEL;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.288411192755046, 48.85011713893556]}";48.8501171389,2.28841119276
MATERNELLES (année scolaire 2020/2021);LONGCHAMP (130) MAT;130 RUE DE LONGCHAMP;16ème Ardt;75116;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.278254211350838, 48.867275648123865]}";48.8672756481,2.27825421135
MATERNELLES (année scolaire 2017/2018);TANGER (41) MAT;41 RUE DE TANGER;19ème Ardt;75119;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.370236413323064, 48.88776813642464]}";48.8877681364,2.37023641332
MATERNELLES (année scolaire 2020/2021);GOUTTE D'OR (57) MAT;57 RUE DE LA GOUTTE D'OR;18ème Ardt;75118;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.350931337623831, 48.88502480929332]}";48.8850248093,2.35093133762
MATERNELLES (année scolaire 2017/2018);TURENNE (52) MAT;52 RUE DE TURENNE;3ème Ardt;75103;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.364613706279245, 48.8584221647131]}";48.8584221647,2.36461370628
MATERNELLES (année scolaire 2020/2021);VILLIERS (22) MAT;22 AVENUE DE LA PORTE DE VILLIERS;17ème Ardt;75117;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.28550631497333, 48.88495140132992]}";48.8849514013,2.28550631497
MATERNELLES (année scolaire 2017/2018);PROCESSION (66) MAT;66 RUE DE LA PROCESSION;15ème Ardt;75115;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.309429981944412, 48.836574144840576]}";48.8365741448,2.30942998194
MATERNELLES (année scolaire 2020/2021);PRIMO LEVI (21) POLY;21 RUE PRIMO LEVI;13ème Ardt;75113;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.378744900613382, 48.83054196528379]}";48.8305419653,2.37874490061
MATERNELLES (année scolaire 2017/2018);DEPARTEMENT (51) MAT;51 RUE DU DEPARTEMENT;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.361872957384783, 48.886479627791886]}";48.8864796278,2.36187295738
MATERNELLES (année scolaire 2021/2022);GUTENBERG (72) MAT;72 RUE GUTENBERG;15ème Ardt;75115;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.278600402781948, 48.84137866069422]}";48.8413786607,2.27860040278
MATERNELLES (année scolaire 2017/2018);PIERRE FONCIN (4) POLY B;4 rue PIERRE FONCIN;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.409389859768635, 48.87134728520536]}";48.8713472852,2.40938985977
MATERNELLES (année scolaire 2021/2022);MAURICE D'OCAGNE (7) MAT;7 AVENUE MAURICE D'OCAGNE;14ème Ardt;75114;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.312155647827371, 48.8246995936112]}";48.8246995936,2.31215564783
MATERNELLES (année scolaire 2017/2018);RICHOMME (18) MAT;18 rue RICHOMME;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.351428524600388, 48.886354514429044]}";48.8863545144,2.3514285246
MATERNELLES (année scolaire 2021/2022);STEPHEN PICHON (28) MAT;28 AVENUE ST�PHEN PICHON;13ème Ardt;75113;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.3585484855159082, 48.83238059506423]}";48.8323805951,2.35854848552
MATERNELLES (année scolaire 2017/2018);MANIN (34) MAT;34 rue MANIN;19ème Ardt;75119;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.389431821515378, 48.883500010128344]}";48.8835000101,2.38943182152
MATERNELLES (année scolaire 2021/2022);ROQUETTE (144) MAT;144 RUE DE LA ROQUETTE;11ème Ardt;75111;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.38230266486954, 48.8580748035193]}";48.8580748035,2.38230266487
MATERNELLES (année scolaire 2017/2018);MONTEMPOIVRE (16) POLY;16 RUE DE MONTEMPOIVRE;12ème Ardt;75112;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.40701434985805, 48.84013866249602]}";48.8401386625,2.40701434986
MATERNELLES (année scolaire 2021/2022);JEAN-BAPTISTE CLEMENT (4) MAT;4 PLACE JEAN BAPTISTE CLEMENT;18ème Ardt;75118;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.33905967335306, 48.886518531176606]}";48.8865185312,2.33905967335
MATERNELLES (année scolaire 2017/2018);GROS (18) POLY;18 rue GROS;16ème Ardt;75116;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.276148551017673, 48.85138249982308]}";48.8513824998,2.27614855102
MATERNELLES (année scolaire 2021/2022);CHAPTAL (12) MAT;12 RUE CHAPTAL;9ème Ardt;75109;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.333632150883873, 48.880824647856265]}";48.8808246479,2.33363215088
